ClienteID,NomeCliente,EnderecoCliente,ContatoCliente,TipoCliente
1,Brandon Mcdonald,"4047 Crystal Shores Apt. 869
Jillborough, HI 38055",001-973-919-4300,Pessoa Física
2,Lori Clark,"PSC 5654, Box 0225
APO AE 48253",980.716.7983x2960,Empresa
3,Samuel Scott,"7616 Michael Road Apt. 811
North Rebecca, WI 75706",+1-206-794-6413x29050,Empresa
4,Michelle Martinez,"86049 Christopher Trafficway Suite 923
East Stanleyfurt, WI 12895",(475)348-3006x42978,Pessoa Física
5,Shelly Carlson,"215 Martha Station Suite 474
Haleyside, WY 77549",(729)333-3112,Pessoa Física
6,Carlos Roy,"PSC 5369, Box 7613
APO AP 96736",001-746-482-7042x5524,Empresa
7,Courtney Johnson,"00336 Brown Ridge
Jenniferport, PW 99801",(725)896-9051x7264,Empresa
8,Kimberly Phillips,"066 Ali Harbor Apt. 544
South Danielville, PW 09064",(747)676-4463x5376,Empresa
9,Adam Wilson,"68784 Blake Forges
Patriciaville, PW 05633",(639)381-7962,Empresa
10,Cassandra Elliott,"6821 Orozco Village
Chenfort, DE 77027",597-439-7037,Pessoa Física
11,Cynthia Fowler,"64184 Joshua Groves
Sonyabury, WA 16975",604.415.3632,Pessoa Física
12,Corey Hudson,"89754 Leon Shore
Beckshire, CO 55612",807.746.2730x6170,Empresa
13,Melissa Harris,"8263 Andrea Falls
West Monica, MA 16033",+1-405-336-0337,Empresa
14,Eric Brown,"71333 Martin Vista
Thompsonbury, SC 22292",2316272394,Pessoa Física
15,Allen Webb,"29094 Nichols Tunnel
North Christophertown, WI 45541",820-740-0488x110,Pessoa Física
16,Sabrina Jones,"79468 Justin Fort Apt. 349
Christineton, AL 04780",6124788241,Pessoa Física
17,Sarah Mcintyre,"332 Smith Square
Debbiefurt, OR 95973",570.955.1471,Empresa
18,Angela Carr,"5089 Kristina Dam Apt. 617
Lake Todd, IN 95518",+1-319-687-9143x792,Pessoa Física
