MotoristaID,Nome,NumeroCarteira,DataContratacao,CategoriaCarteira,Status
1,Nicole Pacheco,0369376763,2023-07-10,E,Suspenso
2,Vitor Novais,6795763875,2021-07-24,E,Inativo
3,Sophie Lopes,8702603762,2024-02-12,D,Suspenso
4,Ana Sophia Garcia,7816486474,2024-01-29,D,Inativo
5,Lavínia da Conceição,6590822445,2023-01-02,D,Suspenso
6,Sofia Albuquerque,0244028619,2022-03-25,C,Suspenso
7,Dra. Melissa Sá,8658261589,2021-06-29,E,Ativo
8,Maria Vitória Sampaio,6647044321,2022-11-28,D,Suspenso
9,Letícia Sampaio,8791420331,2024-03-21,D,Inativo
10,Josué Novaes,1403249734,2022-05-14,E,Ativo
11,Dr. Joaquim Dias,1349337177,2023-06-05,A,Suspenso
12,Léo da Paz,0728128562,2022-11-29,A,Ativo
13,Theodoro Pinto,7596815807,2023-03-31,D,Inativo
14,Olivia Araújo,1090812508,2021-07-22,A,Ativo
15,Marcela Moura,2474941450,2021-09-06,E,Suspenso
16,Dom Cardoso,7439844117,2022-05-25,E,Inativo
17,Ana Júlia Câmara,8165952015,2024-01-15,D,Inativo
18,Pietra Dias,4468696678,2021-12-20,D,Suspenso
19,José Miguel Machado,9852675417,2022-07-18,D,Suspenso
20,Ana Vitória Porto,4192490950,2022-01-16,B,Ativo
21,Alexia Vargas,8626390798,2023-12-06,C,Inativo
22,Sr. Otto Campos,0906961953,2023-07-15,B,Ativo
23,Ana Beatriz da Costa,7587063422,2023-10-18,B,Inativo
24,Laura Lima,1670001444,2024-01-19,D,Inativo
25,Dr. Benício Pacheco,2467673644,2023-03-22,E,Ativo
26,Dr. Bryan Viana,0597880828,2022-07-12,B,Inativo
27,Ana Vitória Macedo,7800833734,2024-04-24,D,Suspenso
28,Caroline Nogueira,1809283655,2023-10-26,C,Inativo
29,Davi Lucca Pimenta,2443683200,2023-05-12,C,Inativo
30,Samuel Moura,6694560314,2021-07-14,D,Ativo
31,Cecilia Souza,1789322622,2023-06-14,C,Ativo
32,Davi Lucca Vieira,4026399903,2022-01-31,E,Suspenso
33,Theodoro da Cruz,4501548697,2023-09-24,A,Inativo
34,Dr. Breno Machado,0715344530,2023-05-18,B,Inativo
35,Pedro Lucas da Rosa,2992278134,2021-12-17,D,Inativo
36,Nina da Rocha,7811839037,2021-12-25,B,Suspenso
37,Heitor Campos,2499794513,2022-11-30,B,Ativo
